,location,total_sqft,bath,price,bhk
26,Electronic City,660.0,1.0,23.1,2
101,Chandapura,650.0,1.0,17.0,2
132,Electronic City,880.0,1.0,16.5,2
179,Electronic City,770.0,1.0,36.0,2
250,Chandapura,800.0,1.0,20.0,2
255,Horamavu Agara,1200.0,2.0,95.0,4
268,Other,700.0,1.0,26.0,2
382,Anekal,1200.0,1.0,36.0,2
406,Bannerghatta Road,1200.0,2.0,125.0,4
438,Dasanapura,708.0,1.0,40.0,2
555,Other,1800.0,1.0,80.0,2
630,Hegde Nagar,1050.0,1.0,56.0,2
929,Konanakunte,884.0,1.0,58.0,2
958,Koramangala,1005.0,1.0,110.0,2
962,Other,1300.0,1.0,115.0,2
1381,Chandapura,850.0,1.0,18.5,2
1451,Kanakpura Road,900.0,1.0,45.0,2
1809,Chikkalasandra,1800.0,1.0,128.0,2
1812,Sarjapur,1550.0,2.0,65.0,4
1813,Electronic City,770.0,1.0,40.0,2
1831,Chamrajpet,1900.0,2.0,170.0,4
1867,TC Palaya,2100.0,2.0,50.0,4
1946,Varthur,1320.0,2.0,110.0,4
1985,Magadi Road,1500.0,2.0,93.0,4
1990,Jalahalli,1400.0,1.0,80.0,2
2006,Seegehalli,800.0,1.0,50.0,2
2062,Magadi Road,1350.0,1.0,100.0,2
2241,Other,1000.0,1.0,55.0,2
2336,Other,860.0,1.0,43.0,2
2416,Anekal,1200.0,1.0,36.0,2
2664,Other,955.0,1.0,34.01,2
2779,Margondanahalli,1200.0,1.0,53.0,2
2899,Other,674.0,1.0,19.9,2
2905,Kanakpura Road,700.0,1.0,35.0,2
2906,Other,1463.0,1.0,142.0,2
2943,Anandapura,1475.0,2.0,50.0,4
2953,Sanjay nagar,630.0,1.0,35.0,2
2962,Bisuvanahalli,850.0,1.0,32.0,2
3001,Electronic City,755.0,1.0,34.0,2
3102,Chandapura,630.0,1.0,27.0,2
3482,Other,1500.0,1.0,160.0,2
3627,Other,620.0,1.0,25.0,2
3752,Marathahalli,1325.0,1.0,92.0,2
4068,Other,1512.0,1.0,65.01,2
4213,Kengeri Satellite Town,635.0,1.0,22.0,2
4315,Chandapura,1200.0,1.0,36.0,2
4659,Margondanahalli,1360.0,2.0,45.0,4
4743,Electronic City,660.0,1.0,18.0,2
4786,Electronic City,660.0,1.0,15.0,2
4787,Chandapura,700.0,1.0,19.0,2
4843,Bhoganhalli,2072.5,2.0,111.0,4
5016,Anekal,700.0,1.0,19.4,2
5059,Electronic City,660.0,1.0,16.0,2
5069,Other,1000.0,1.0,75.0,2
5130,Shampura,700.0,1.0,35.0,2
5147,Konanakunte,1200.0,2.0,130.0,4
5406,Uttarahalli,1100.0,1.0,45.0,2
5426,Kaggadasapura,1180.0,1.0,50.0,2
5435,Kammasandra,1030.0,1.0,25.75,2
5498,Chandapura,1891.0,2.0,66.165,4
5632,Anekal,1200.0,1.0,36.0,2
5652,JP Nagar,1100.0,1.0,15.0,2
5698,Attibele,695.0,1.0,25.0,2
5704,Attibele,850.0,1.0,25.0,2
5720,Kaikondrahalli,674.0,1.0,19.9,2
5739,Other,1200.0,1.0,65.0,2
5795,Bisuvanahalli,700.0,1.0,32.0,2
5869,Thanisandra,1250.0,1.0,54.0,2
5884,Other,1800.0,3.0,105.0,6
5892,Other,708.0,1.0,55.0,2
